epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,7342.18,0.55321,0.48903,0.9635,0.77238,0.81641,0.80895,0.62077,0.89225,0.73019,0.9435,0.000366899,0.000366899,0.000366899
61,7460.55,0.55431,0.50166,0.97378,0.79037,0.80271,0.81828,0.62948,0.88243,0.73271,0.94737,0.000352037,0.000352037,0.000352037
62,7585,0.53325,0.47322,0.96091,0.76849,0.8014,0.79815,0.60244,0.91457,0.77279,0.98534,0.000337325,0.000337325,0.000337325
63,7703.1,0.54795,0.47579,0.96173,0.75985,0.80742,0.81138,0.627,0.89184,0.76556,0.95367,0.000322778,0.000322778,0.000322778
64,7824.18,0.53314,0.46215,0.95581,0.83945,0.78801,0.82235,0.63965,0.86104,0.69792,0.93198,0.000308412,0.000308412,0.000308412
65,7942.55,0.52455,0.4614,0.9573,0.82241,0.7743,0.82508,0.63647,0.8712,0.72864,0.92879,0.000294239,0.000294239,0.000294239
66,8065.2,0.5306,0.46701,0.95743,0.82022,0.80066,0.84028,0.65388,0.84932,0.67527,0.91208,0.000280275,0.000280275,0.000280275
67,8183.73,0.52554,0.45795,0.9506,0.81277,0.79899,0.82506,0.64096,0.87862,0.70913,0.93421,0.000266532,0.000266532,0.000266532
68,8301.07,0.52105,0.45006,0.94647,0.83601,0.79672,0.81673,0.63195,0.8685,0.72529,0.94949,0.000253024,0.000253024,0.000253024
69,8424.31,0.48836,0.41438,0.94578,0.84739,0.80849,0.8408,0.64973,0.86215,0.69014,0.93176,0.000239766,0.000239766,0.000239766
70,8540.01,0.51292,0.44283,0.94685,0.83103,0.81914,0.83369,0.63965,0.87546,0.69037,0.94475,0.000226769,0.000226769,0.000226769
71,8658.5,0.53367,0.44592,0.95185,0.85792,0.79706,0.84153,0.64891,0.85511,0.69693,0.93242,0.000214046,0.000214046,0.000214046
72,8777.16,0.50458,0.43319,0.94518,0.83114,0.81535,0.84257,0.65622,0.84522,0.6751,0.92437,0.000201611,0.000201611,0.000201611
73,8893.35,0.51455,0.42444,0.94456,0.8488,0.81462,0.83864,0.64348,0.84815,0.6802,0.92589,0.000189475,0.000189475,0.000189475
74,9011.69,0.51066,0.42917,0.9439,0.88269,0.78405,0.84111,0.64679,0.85114,0.68543,0.92877,0.000177651,0.000177651,0.000177651
75,9129.72,0.50187,0.42562,0.94175,0.86251,0.79871,0.8428,0.65418,0.84255,0.68362,0.92755,0.000166149,0.000166149,0.000166149
76,9249.87,0.4966,0.4114,0.93236,0.86258,0.78688,0.83678,0.64644,0.84707,0.69428,0.93318,0.000154982,0.000154982,0.000154982
77,9366.68,0.5166,0.42181,0.93878,0.83771,0.80553,0.8286,0.63721,0.85554,0.68899,0.93613,0.000144161,0.000144161,0.000144161
78,9483.12,0.49426,0.40195,0.94018,0.86102,0.80519,0.83546,0.65018,0.83906,0.68332,0.92986,0.000133695,0.000133695,0.000133695
79,9603.48,0.49823,0.39969,0.93788,0.8514,0.80031,0.83771,0.64839,0.83811,0.69361,0.92323,0.000123596,0.000123596,0.000123596
80,9724.95,0.48521,0.40114,0.92824,0.84916,0.80742,0.84071,0.65096,0.82995,0.69076,0.92392,0.000113873,0.000113873,0.000113873
81,9845.21,0.48262,0.39005,0.93329,0.84168,0.79881,0.8191,0.62917,0.84144,0.71344,0.92838,0.000104537,0.000104537,0.000104537
